BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Floor_num,Floor_building
1,700,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,2
3,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,820,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner,1,2
2,570,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,4,7
3,1725,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,2,13
2,1100,Super Area,Hyderabad,Furnished,Family,2,Contact Agent,2,5
2,1250,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,3,4
4,2100,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,35,60
1,425,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent,3,5
1,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
3,1100,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,18,22
1,750,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
3,950,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,0,9
2,650,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
2,800,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
2,935,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,7
3,1355,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,30,45
2,960,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
2,850,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
2,1000,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1,2
1,470,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,11,14
3,2170,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,4,5
3,1252,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,5
3,1374,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Agent,1,16
4,2800,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent,2,9
1,490,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,7
3,1000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,16,32
2,1250,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,3,4
2,1200,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
2,960,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,16,38
2,745,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
3,1190,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
1,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
1,450,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner,3,4
4,3500,Carpet Area,Bangalore,Semi-Furnished,Bachelors,5,Contact Agent,2,4
2,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,4
2,720,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,14,22
2,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,1,2
4,2300,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner,4,5
2,900,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,7,9
2,1050,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
3,2200,Super Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,2,4
3,1250,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,2,4
2,1140,Super Area,Hyderabad,Furnished,Family,2,Contact Owner,5,5
2,850,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,700,Carpet Area,Mumbai,Furnished,Bachelors,3,Contact Agent,4,6
2,950,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,4,8
1,500,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,5
2,1000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,1
